aid,gid
1,1
5,1
6,1
7,1
18,1
20,1
21,1
23,1
25,1
26,1
27,1
29,1
30,1
33,1
43,1
44,1
45,1
47,1
51,1
54,1
55,1
60,1
61,1
64,1
65,1
67,1
68,1
69,1
71,1
72,1
73,1
75,1
76,1
77,1
80,1
90,1
91,1
93,1
94,1
95,1
97,1
98,1
110,1
112,1
113,1
121,1
127,1
128,1
129,1
130,1
131,1
132,1
134,1
136,1
137,1
138,1
139,1
142,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
161,1
164,1
165,1
168,1
169,1
174,1
175,1
177,1
180,1
181,1
184,1
185,1
186,1
187,1
194,1
198,1
202,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
212,1
218,1
219,1
221,1
222,1
223,1
225,1
226,1
227,1
230,1
231,1
238,1
249,1
266,1
267,1
269,1
270,1
271,1
272,1
274,1
278,1
282,1
284,1
285,1
288,1
290,1
296,1
297,1
300,1
301,1
305,1
315,1
317,1
320,1
321,1
340,1
347,1
355,1
356,1
359,1
366,1
370,1
374,1
375,1
377,1
378,1
384,1
389,1
392,1
395,1
396,1
397,1
398,1
399,1
400,1
404,1
408,1
411,1
416,1
417,1
426,1
432,1
434,1
438,1
442,1
446,1
447,1
449,1
450,1
451,1
452,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
473,1
478,1
479,1
481,1
482,1
483,1
486,1
492,1
493,1
498,1
502,1
504,1
515,1
527,1
528,1
537,1
539,1
540,1
541,1
543,1
544,1
548,1
550,1
552,1
554,1
560,1
561,1
565,1
566,1
567,1
571,1
573,1
582,1
589,1
594,1
598,1
599,1
602,1
603,1
619,1
621,1
624,1
635,1
636,1
650,1
690,1
693,1
709,1
712,1
732,1
738,1
751,1
758,1
760,1
762,1
763,1
767,1
769,1
777,1
791,1
801,1
807,1
808,1
813,1
821,1
822,1
833,1
834,1
839,1
842,1
854,1
856,1
857,1
860,1
876,1
878,1
882,1
883,1
884,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
913,1
916,1
917,1
918,1
924,1
925,1
926,1
929,1
935,1
936,1
937,1
938,1
944,1
949,1
953,1
956,1
958,1
961,1
967,1
968,1
969,1
970,1
971,1
974,1
977,1
978,1
979,1
987,1
988,1
991,1
992,1
998,1
999,1
1000,1
1002,1
1006,1
1009,1
1010,1
1011,1
1017,1
1019,1
1020,1
1022,1
1024,1
1027,1
1033,1
1034,1
1037,1
1043,1
1051,1
1052,1
1055,1
1057,1
1059,1
1062,1
1067,1
1069,1
1072,1
1074,1
1076,1
1079,1
1080,1
1081,1
1086,1
1088,1
1089,1
1090,1
1091,1
1092,1
1094,1
1101,1
1102,1
1107,1
1111,1
1112,1
1118,1
1122,1
1130,1
1132,1
1133,1
1135,1
1136,1
1145,1
1147,1
1149,1
1150,1
1153,1
1156,1
1157,1
1160,1
1165,1
1167,1
1176,1
1178,1
1179,1
1180,1
1181,1
1182,1
1189,1
1191,1
1194,1
1195,1
1202,1
1211,1
1212,1
1221,1
1224,1
1225,1
1226,1
1228,1
1231,1
1232,1
1233,1
1236,1
1237,1
1238,1
1244,1
1245,1
1246,1
1248,1
1249,1
1252,1
1253,1
1254,1
1257,1
1259,1
1261,1
1262,1
1268,1
1269,1
1270,1
1276,1
1285,1
1286,1
1287,1
1292,1
1293,1
1295,1
1296,1
1297,1
1298,1
1303,1
1313,1
1314,1
1331,1
1336,1
1338,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1348,1
1349,1
1350,1
1351,1
1352,1
1355,1
1356,1
1357,1
1362,1
1372,1
1378,1
1381,1
1383,1
1384,1
1397,1
1398,1
1399,1
1400,1
1410,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1442,1
1443,1
1451,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1465,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1481,1
1482,1
1484,1
1488,1
1490,1
1492,1
1493,1
1498,1
1517,1
1519,1
1525,1
1526,1
1529,1
1534,1
1536,1
1537,1
1538,1
1541,1
1542,1
1544,1
1553,1
1557,1
1559,1
1560,1
1564,1
1565,1
1568,1
1573,1
1575,1
1576,1
1577,1
1582,1
1583,1
1590,1
1596,1
1599,1
1603,1
1604,1
1606,1
1609,1
1618,1
1620,1
1621,1
1622,1
1623,1
1626,1
1628,1
1629,1
1641,1
1643,1
1645,1
1647,1
1650,1
1651,1
1652,1
1657,1
