user_id,Username,anime_id,Anime Title,rating
501447,killerBee1345,3701,Kaiba,7
37338,schinophrenic,2238,Fuyu no Semi,7
558199,Falix_55,3467,Nogizaka Haruka no Himitsu,6
118354,SusieCho,1172,Slayers Try,10
945807,LisaAraujo,918,Gintama,10
954395,salguz400,14741,Chuunibyou demo Koi ga Shitai!,10
371335,FrumbleMarbee,34497,Death March kara Hajimaru Isekai Kyousoukyoku,9
742147,gallifreyians,10800,Chihayafuru,9
79603,Dorrengaray,31636,Dagashi Kashi,7
2173,DeathGuiseX,256,Hoshi no Koe,9
309123,Kvazikvark,4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",10
336962,lone_ninja,38999,Watashi ni Tenshi ga Maiorita! Special,8
574907,Annstis,5114,Fullmetal Alchemist: Brotherhood,10
77179,ard,57,Beck,8
497264,LeoALion,1526,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,9
34811,cobol,226,Elfen Lied,7
1259,M-,1531,Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,8
94840,Evendell,15417,Gintama': Enchousen,9
536571,Kari-Haruka,3652,Higurashi no Naku Koro ni Rei,7
1192111,Luigi_Lamperouge,487,Girls Bravo: Second Season,5
2324,kirAth-shiAue,1967,Kidou Senshi Z Gundam I: Hoshi wo Tsugu Mono,8
397188,krismaz,10162,Usagi Drop,9
96026,Baibh,40602,7 Seeds 2nd Season,8
449231,czernia,9062,Angel Beats! Specials,8
553565,BreeCatchu,37623,Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,4
341433,SubVerZa,38000,Kimetsu no Yaiba,9
495173,Akamaru_kun,181,Vandread: The Second Stage,7
3622,DarkPnkX,225,Dragon Ball GT,5
397450,ApatheticNerdGuy,10379,Natsume Yuujinchou San,9
507966,MechanicLink,270,Hellsing,10
6949,Fay207,121,Fullmetal Alchemist,8
545329,Sheif,12445,Tasogare Otome x Amnesia,5
331367,alyuzumaki,5114,Fullmetal Alchemist: Brotherhood,8
12663,Zigmoose,1002,Top wo Nerae 2! Diebuster,7
502195,Flame0007,969,Tsubasa Chronicle 2nd Season,7
1070739,LiquidCypher,1292,Afro Samurai,8
1221795,gomugomurocket,1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,9
1169725,RedLuthor,25389,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",7
53700,NecoDelero,13587,Persona 4 the Animation: No One is Alone,7
13933,deserty,17895,Golden Time,10
340457,MaidenChina,34881,Aho Girl,7
414258,mimix2,10897,Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,7
436419,Satsumo,6594,Katanagatari,10
352846,Wludysluw,1361,Final Fantasy: The Spirits Within,9
11017,technic,1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,7
1143215,Yvese,12079,Black★Rock Shooter,6
351988,Shinkan,2897,Nandarou,6
15648,Jovzin,4382,Suzumiya Haruhi no Yuuutsu (2009),10
419846,Lady_N,7791,K-On!!,10
469186,Rysiolinka,18507,Free!,7
107347,Sonvalt,7674,Bakuman.,9
300267,Kazemon15,597,Neko no Ongaeshi,7
29081,Dark_Avenger,6958,Hyakko Extra,6
509168,TimaeusDA,6747,Dance in the Vampire Bund,7
74598,tochiro,1575,Code Geass: Hangyaku no Lelouch,10
381875,paulosantana,23755,Nanatsu no Taizai,9
357328,lilitan,1530,Kanon (2006),9
429457,skroonb,5258,Hajime no Ippo: New Challenger,10
18668,Logax,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,6
6790,Lyle,3702,Detroit Metal City,10
538473,G392,10460,Kimi to Boku.,7
337841,lmjkrol,12677,Ozma,7
4653,Kajitoku,3457,Vampire Knight,6
407627,emptyskyes,5118,Suzumiya Haruhi-chan no Yuuutsu,9
74673,INVASION,3911,Shuukaku no Yoru,7
1153433,allo,12859,One Piece Film: Z,10
319910,kimpede,565,Steamboy,9
119176,Temeee,16662,Kaze Tachinu,8
